"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"A330076H08Rik",1.4645122924881e-05,0.303742147177803,0.993,0.957,0.24318226616765,"4","A330076H08Rik"
"Cfap541",1.49592425711283e-05,0.626079668339907,0.441,0.261,0.248398222893586,"4","Cfap54"
"Agbl41",1.77631291147375e-05,0.312152110798988,0.993,0.966,0.294956758950216,"4","Agbl4"
"Fgf141",1.93222773805157e-05,0.286375538052566,1,0.999,0.320846415903464,"4","Fgf14"
"Nhs1",1.99971223018818e-05,0.652961878205722,0.615,0.448,0.332052215822747,"4","Nhs"
"Rorb",2.03292881980248e-05,1.1861534632342,0.336,0.198,0.337567830528202,"4","Rorb"
"Tcerg1l2",2.20362713897235e-05,0.814833525543758,0.427,0.265,0.365912286426358,"4","Tcerg1l"
"Pxdn",2.66476696640884e-05,0.755680967073351,0.392,0.235,0.442484554772188,"4","Pxdn"
"Hs3st51",2.72018947749393e-05,0.556402178936319,0.524,0.345,0.451687462737868,"4","Hs3st5"
"Gm16759",2.7376317016672e-05,1.0456222467867,0.315,0.175,0.454583744061838,"4","Gm16759"
"Nrxn31",2.73951849329183e-05,0.271523799655357,1,0.975,0.454897045811108,"4","Nrxn3"
"Sema6d2",2.89583560213317e-05,0.340867540954993,0.811,0.641,0.480853501734213,"4","Sema6d"
"Crppa1",3.08634049012505e-05,0.734457493376507,0.42,0.261,0.512486838385265,"4","Crppa"
"Grb10",3.09369279749197e-05,0.526481884387949,0.734,0.591,0.513707689023541,"4","Grb10"
"Trpm31",3.46823394285352e-05,0.128244537401264,0.797,0.635,0.575900246210827,"4","Trpm3"
"Nos11",3.7140254872097e-05,0.353516294703092,0.28,0.14,0.616713932151171,"4","Nos1"
"Nos1ap1",3.87489792124005e-05,0.635876772725519,0.545,0.379,0.643426799821911,"4","Nos1ap"
"Ncam2",4.49338137228587e-05,0.399081943152178,0.888,0.801,0.746125976868069,"4","Ncam2"
"Mdga2",4.57370103166129e-05,0.319520562952955,0.993,0.979,0.759463056307357,"4","Mdga2"
"Lrrtm41",4.72600186333937e-05,0.346879812073829,0.979,0.925,0.784752609407503,"4","Lrrtm4"
"Tmem29",4.78262048418201e-05,0.781341429160224,0.329,0.183,0.794154131398422,"4","Tmem29"
"Snhg11",4.91858132464283e-05,0.143573252056863,1,1,0.816730428956942,"4","Snhg11"
"Vwa5b11",5.01059064976833e-05,0.75314390055678,0.392,0.238,0.832008577394032,"4","Vwa5b1"
"Gabra31",5.66057323818354e-05,0.692514853012149,0.559,0.412,0.939938186200377,"4","Gabra3"
"Apba1",5.85502176771791e-05,0.356115845165161,0.867,0.736,0.972226364529559,"4","Apba1"
"Gpc61",5.92532738842709e-05,0.623288117440034,0.636,0.475,0.983900612848319,"4","Gpc6"
"Phc2",6.17739372483855e-05,0.557303888125502,0.762,0.644,1,"4","Phc2"
"Tmc4",6.20614758326965e-05,0.708471587622031,0.531,0.38,1,"4","Tmc4"
"Pacrg",6.29314687703059e-05,0.783133505906343,0.49,0.354,1,"4","Pacrg"
"Gabrg2",6.83948924011657e-05,0.532838401736505,0.566,0.402,1,"4","Gabrg2"
"Nav21",7.11265991322814e-05,0.19438135204122,0.993,0.94,1,"4","Nav2"
"Xylt1",7.1648748401344e-05,0.791101072734199,0.455,0.298,1,"4","Xylt1"
