"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0030534","adult behavior","24/440","203/25730",0.118226600985222,6.91356918943126,11.1573534019822,1.18518485241108e-13,3.38962867789569e-11,2.4416590192529e-11,"20238/18191/14169/18189/50873/14167/16531/12298/13131/330222/18472/11820/12288/217843/11994/19211/209012/219228/224671/14406/15560/76192/80912/17257",24,"ADP_C_vs_ADP_N"
"GO:0043954","cellular component maintenance","18/440","104/25730",0.173076923076923,10.1210664335664,12.2937748389477,1.90913656581501e-13,5.09612187301552e-11,3.67090118619868e-11,"54725/23859/210933/192167/319387/243548/116837/211401/243743/14812/16001/11820/231760/238988/116838/13383/69605/19122",18,"ADP_C_vs_ADP_N"
"GO:0048588","developmental cell growth","28/440","293/25730",0.0955631399317406,5.58827179646292,10.4186962973377,2.2902349084667e-13,5.73131285843792e-11,4.12844976920971e-11,"238161/13640/319974/116837/13508/81907/26398/50873/20404/52822/234214/108655/243743/19091/18472/11820/330914/76499/19211/14042/116838/56637/18186/17756/29869/108058/17257/19876",28,"ADP_C_vs_ADP_N"
"GO:0007269","neurotransmitter secretion","23/440","194/25730",0.118556701030928,6.9328725398313,10.9408943762663,3.6516315093764e-13,7.69533292818058e-11,5.54319686187886e-11,"192167/18191/116837/18189/50873/19055/320127/20614/12298/20965/229521/16510/231760/78808/20616/27062/238988/327814/116838/207227/94090/15893/15560",23,"ADP_C_vs_ADP_N"
"GO:0099643","signal release from synapse","23/440","194/25730",0.118556701030928,6.9328725398313,10.9408943762663,3.6516315093764e-13,7.69533292818058e-11,5.54319686187886e-11,"192167/18191/116837/18189/50873/19055/320127/20614/12298/20965/229521/16510/231760/78808/20616/27062/238988/327814/116838/207227/94090/15893/15560",23,"ADP_C_vs_ADP_N"
"GO:0048638","regulation of developmental growth","32/440","399/25730",0.0802005012531328,4.68990658464343,9.79803595787887,5.45286231846319e-13,1.09166303615633e-10,7.86360144873112e-11,"238161/13640/17967/116837/13508/109241/50873/52822/108655/18795/13046/243743/14083/16001/50769/18472/11820/12288/330914/26383/76499/19211/116838/56637/18186/11789/17756/26413/13383/73094/29869/17257",32,"ADP_C_vs_ADP_N"
"GO:0006836","neurotransmitter transport","25/440","252/25730",0.0992063492063492,5.80131673881674,10.1027902807922,1.96730612172524e-12,3.75099700542279e-10,2.70196429750735e-10,"192167/18191/116837/18189/50873/19055/320127/20614/12298/20965/229521/11820/16510/231760/78808/20616/27062/238988/327814/116838/207227/94090/15893/15560/21366",25,"ADP_C_vs_ADP_N"
"GO:0001764","neuron migration","23/440","224/25730",0.102678571428571,6.00436282467532,9.92236040807793,7.5196701729465e-12,1.25453164051991e-09,9.03679661134799e-10,"18183/210801/20745/319387/319974/11899/12386/56079/22253/19091/14083/13131/11787/320772/234267/18472/330914/18007/13176/20358/209012/56637/18186",23,"ADP_C_vs_ADP_N"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","25/440","281/25730",0.0889679715302491,5.20260433516661,9.34328680511272,2.16701081359214e-11,3.47068451904917e-09,2.50004615968104e-09,"210801/54725/192167/54216/14804/239857/319387/13640/13508/18189/12558/331461/20320/238205/13131/320865/320772/330222/11994/65945/219228/53870/64085/12552/19876",25,"ADP_C_vs_ADP_N"
"GO:0007411","axon guidance","24/440","264/25730",0.0909090909090909,5.31611570247934,9.29775400042842,3.49440767285098e-11,5.1820771563316e-09,3.73281755306498e-09,"210801/13640/17967/13508/76260/12805/108655/20320/243743/22253/11787/11820/18007/13176/20358/14042/93691/18186/108699/56839/53870/29869/270190/19876",24,"ADP_C_vs_ADP_N"
