"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Smarcd1",0.883958876896954,0.0370987389837039,0.111,0.114,1,"Not significant"
"Pax6",0.884406466281415,-0.166773594381946,0.013,0.012,1,"Not significant"
"Gm47863",0.884564575357879,-0.0355290611036931,0.021,0.022,1,"Not significant"
"Zfp874b",0.884564575357879,-0.0355290611036931,0.021,0.022,1,"Not significant"
"Zfp825",0.884564575357879,-0.0355290611036931,0.021,0.022,1,"Not significant"
"Gm3252",0.884564575357879,-0.0355290611036931,0.021,0.022,1,"Not significant"
"Vps51",0.884807184302793,0.0189187229186825,0.025,0.026,1,"Not significant"
"Phkg1",0.88600666371416,-0.0944227501572614,0.015,0.015,1,"Not significant"
"Tln1",0.886086752326812,0.0834589751133934,0.136,0.135,1,"Not significant"
"Pmf1",0.886095568012379,-0.0355290611036931,0.009,0.009,1,"Not significant"
"Psma7",0.886160109104527,0.111481548390617,0.169,0.173,1,"Not significant"
"Paxbp1",0.886339872491041,0.118583145302032,0.315,0.331,1,"Not significant"
"Plxnb2",0.88651541044611,0.0845473908880572,0.163,0.162,1,"Not significant"
"Clk3",0.886589726673195,0.08852893158129,0.149,0.153,1,"Not significant"
"A830092H15Rik",0.886841926272687,-0.035529061103694,0.017,0.018,1,"Not significant"
"Hnrnpm",0.887245588616297,0.0960306431295841,0.323,0.331,1,"Not significant"
"Nmt1",0.887291621488382,0.0193971493999001,0.199,0.203,1,"Not significant"
"Hras",0.887425292765976,0.0534759449550517,0.037,0.036,1,"Not significant"
"Slc39a1",0.887536664533963,-0.0355290611036931,0.011,0.011,1,"Not significant"
"Abracl",0.887536664533963,-0.0355290611036931,0.011,0.011,1,"Not significant"
"Gm15860",0.887584822360679,-0.0355290611036931,0.015,0.015,1,"Not significant"
"Dnajb1",0.887584822360679,-0.0355290611036931,0.015,0.015,1,"Not significant"
"Gm41760",0.887584822360679,-0.0355290611036931,0.015,0.015,1,"Not significant"
"Vwce",0.887584822360679,-0.0355290611036931,0.015,0.015,1,"Not significant"
"Commd2",0.887894061585253,-0.035529061103694,0.013,0.013,1,"Not significant"
"Gm13091",0.887894061585253,-0.035529061103694,0.013,0.013,1,"Not significant"
"Gm19967",0.887894061585253,-0.035529061103694,0.013,0.013,1,"Not significant"
"A330033J07Rik",0.887894061585253,-0.035529061103694,0.013,0.013,1,"Not significant"
"Jun",0.888322258892315,-0.0635434372732906,0.015,0.015,1,"Not significant"
"Dicer1",0.888410005271069,0.110714021306959,0.39,0.408,1,"Not significant"
"Cntfr",0.888577004843856,0.126490742253273,0.149,0.149,1,"Not significant"
"Tmc4",0.888724648270107,0.080149551589954,0.292,0.303,1,"Not significant"
"Ctcf",0.889014819488244,0.0119993089788923,0.238,0.243,1,"Not significant"
"Pou6f1",0.889218859501833,0.113604138733567,0.316,0.329,1,"Not significant"
"Firre",0.889399705745602,0.149056247044751,0.365,0.392,1,"Not significant"
"Limk2",0.889906173790127,0.109612839408731,0.296,0.302,1,"Not significant"
"Mag",0.890221376217383,0.115536913087302,0.048,0.047,1,"Not significant"
"Zfpm1",0.890253886840829,0.113334324810789,0.031,0.03,1,"Not significant"
"Smarca2",0.890816228084688,0.107211111012389,0.422,0.449,1,"Not significant"
"Plekhh3",0.890887438239041,-0.035529061103694,0.047,0.049,1,"Not significant"
"Rapgef3",0.892148523099542,0.129977269071614,0.131,0.13,1,"Not significant"
"Rwdd4a",0.892212707119115,0.146674270117056,0.052,0.051,1,"Not significant"
"Agbl5",0.892800390701778,0.0421374324866304,0.136,0.138,1,"Not significant"
"Eml5",0.892860160834691,0.0656037902188125,0.597,0.655,1,"Not significant"
"Kcng1",0.892944712274947,0.134395940338619,0.008,0.007,1,"Not significant"
"Zfp804b",0.8929913383531,-0.127750506016746,0.482,0.469,1,"Not significant"
"Tor1b",0.893447158741501,-0.0283335596994894,0.122,0.124,1,"Not significant"
"Grm4",0.893544893446925,0.0964664847062968,0.098,0.1,1,"Not significant"
"Kcnh2",0.894219414023906,0.0711310468806023,0.125,0.128,1,"Not significant"
"Ube2a",0.89434327195005,-0.0461763053032014,0.043,0.044,1,"Not significant"
"Ankrd13b",0.897083001935661,0.183305540819565,0.176,0.177,1,"Not significant"
"Mbd3",0.897108758987447,-0.0248026545106352,0.043,0.044,1,"Not significant"
"Igflr1",0.897787351138817,0.0133805393772528,0.057,0.056,1,"Not significant"
"Anapc10",0.898356633568692,0.000619942369271875,0.199,0.202,1,"Not significant"
"Napg",0.899471134666873,0.0932358394626072,0.304,0.317,1,"Not significant"
"Kcnd3",0.89987652494588,0.0824438607038974,0.518,0.537,1,"Not significant"
"Timm13",0.900265105715561,0.00346507051216971,0.048,0.047,1,"Not significant"
"Wrnip1",0.900921834513067,-0.0135027547736941,0.041,0.042,1,"Not significant"
"Gpx4",0.901389413165688,-0.00943983223503242,0.085,0.086,1,"Not significant"
"Asnsd1",0.901841417319343,0.0640066124472209,0.024,0.023,1,"Not significant"
"Gm11639",0.902038663556887,0.549433439617463,0.003,0.003,1,"Not significant"
"Slc39a7",0.902856838768162,0.057373520114774,0.136,0.139,1,"Not significant"
"Zfp219",0.902961046425257,0.0596281719366467,0.084,0.086,1,"Not significant"
"Eef1akmt2",0.903015810002621,0.2275053447301,0.003,0.003,1,"Not significant"
"Vit",0.903015810002621,0.2275053447301,0.003,0.003,1,"Not significant"
"Inpp1",0.9032757491329,0.0226855528416023,0.105,0.106,1,"Not significant"
"Rara",0.903845621721351,0.00511292339365266,0.043,0.044,1,"Not significant"
"9330185C12Rik",0.904481953781977,-0.909998179019834,0.003,0.003,1,"Not significant"
"Atp8b2",0.904988783831904,0.0900018209801656,0.178,0.181,1,"Not significant"
"Gm2762",0.905223883875493,0.0575803432877882,0.051,0.053,1,"Not significant"
"St6galnac4",0.905936426232748,-0.011281514857016,0.037,0.038,1,"Not significant"
"Sema4c",0.906515143538921,0.153504763286324,0.017,0.016,1,"Not significant"
"Gpatch1",0.906955296936246,0.126222008892919,0.238,0.247,1,"Not significant"
"Nrgn",0.907047657649233,0.0267552171506491,0.06,0.061,1,"Not significant"
"Med16",0.907600625483059,-0.019409395740416,0.058,0.059,1,"Not significant"
"Cdr2l",0.908053233699361,-0.00695990890692233,0.033,0.032,1,"Not significant"
"Abtb1",0.908158166624758,-0.011281514857016,0.075,0.076,1,"Not significant"
"Crtc1",0.908214954999535,0.174288667462132,0.247,0.253,1,"Not significant"
"Rfc5",0.908956096168378,0.0755022512850507,0.017,0.016,1,"Not significant"
"Thpo",0.909980610162784,-0.0217232615786633,0.034,0.034,1,"Not significant"
"Armcx6",0.91033708043726,0.125625730710887,0.036,0.036,1,"Not significant"
"Ccng1",0.910402091231837,-0.050028630798808,0.032,0.032,1,"Not significant"
"Ccdc88c",0.910511959411245,0.079052906494844,0.14,0.139,1,"Not significant"
"Nat9",0.91144592251337,0.116474032341356,0.036,0.036,1,"Not significant"
"Cfap65",0.911647215788869,-0.0624961087039626,0.05,0.049,1,"Not significant"
"Mrps7",0.911791096900499,-0.0108670068694243,0.056,0.057,1,"Not significant"
"Zfp658",0.91180257069861,0.056393428337346,0.026,0.025,1,"Not significant"
"Col12a1",0.913492712337438,-0.273688798298458,0.024,0.024,1,"Not significant"
"Ltbp3",0.913904986966314,0.00676266061274533,0.244,0.246,1,"Not significant"
"Gm4787",0.914398140671564,0.101974462646242,0.01,0.009,1,"Not significant"
"Pstpip2",0.914467674869029,-0.0355290611036931,0.03,0.03,1,"Not significant"
"Sap30l",0.914531230030142,0.146077745386254,0.028,0.027,1,"Not significant"
"Nmt2",0.914610589010415,0.0722547652972974,0.316,0.324,1,"Not significant"
"Arap1",0.914871743603549,0.00315140706036665,0.056,0.057,1,"Not significant"
"Ep400",0.914989714707284,0.13596493999396,0.427,0.462,1,"Not significant"
"Gm16897",0.915186529028295,-0.000763642943017118,0.026,0.025,1,"Not significant"
"Brsk2",0.915245237141985,0.170921816363733,0.177,0.183,1,"Not significant"
"Atxn7l3",0.915346907926407,0.00294508671094196,0.072,0.071,1,"Not significant"
"Inf2",0.915763802754912,-0.0231453366478602,0.035,0.034,1,"Not significant"
"Polg",0.916387003926451,0.0332492168817193,0.152,0.154,1,"Not significant"
"Fgd1",0.916907505072796,0.0674649322196323,0.151,0.154,1,"Not significant"
"Elp1",0.917179794055333,0.0780475509249174,0.239,0.246,1,"Not significant"
"Brd1",0.917272317894579,0.0755022512850507,0.233,0.239,1,"Not significant"
"Vps4a",0.917295087440699,0.0581853737185005,0.093,0.094,1,"Not significant"
"1500009L16Rik",0.918369064271472,0.0600485988785371,0.047,0.046,1,"Not significant"
"Zfp512",0.918956194307808,0.0223518549768067,0.279,0.286,1,"Not significant"
"Abhd11",0.91954371026228,0.0737000086510653,0.06,0.059,1,"Not significant"
"Gm9833",0.921062025097303,0.0640066124472218,0.019,0.018,1,"Not significant"
"Pnmal2",0.921419586597042,0.0761813263933233,0.201,0.206,1,"Not significant"
"Gfer",0.921583382694145,-0.0176071531064315,0.026,0.026,1,"Not significant"
"Zfp408",0.922281535310143,-0.0182510696718579,0.054,0.053,1,"Not significant"
"Mrto4",0.922938287315843,0.0441981313670405,0.028,0.028,1,"Not significant"
"Galr1",0.923647978144061,0.0969212349199555,0.028,0.028,1,"Not significant"
"Hmcn2",0.923721415160196,-0.035529061103694,0.024,0.024,1,"Not significant"
"Ptbp1",0.924039912029111,0.0348602667877045,0.077,0.078,1,"Not significant"
"Adcy9",0.924122255375567,0.119193533694949,0.271,0.274,1,"Not significant"
"Psmd11",0.924408315010046,0.0815440580728841,0.301,0.311,1,"Not significant"
"6330418K02Rik",0.924733985673053,-0.0161637362367628,0.024,0.024,1,"Not significant"
"Abca5",0.924804975399172,0.158531580361156,0.308,0.325,1,"Not significant"
"Camsap2",0.924882537185192,0.10838035029502,0.25,0.255,1,"Not significant"
"Luc7l",0.925039137465121,0.0787795089936204,0.419,0.435,1,"Not significant"
"Lrp1b",0.925091295871974,-0.103352023884316,0.935,0.9,1,"Not significant"
"Trp73",0.92623909503743,-0.166773594381946,0.038,0.039,1,"Not significant"
"Kif21b",0.927162493285832,0.113965931551657,0.233,0.239,1,"Not significant"
"Zc3h7a",0.927261523345242,0.103595240843265,0.34,0.35,1,"Not significant"
"Smg1",0.927381679372524,0.0488821228887563,0.631,0.685,1,"Not significant"
"Timm8b",0.928010302779634,-0.0144674455758631,0.022,0.022,1,"Not significant"
"Wnt5a",0.929579723378027,-0.0582491376037764,0.02,0.02,1,"Not significant"
"Timm17b",0.930143215567943,0.124127604884792,0.032,0.031,1,"Not significant"
"Gm28153",0.930263625311779,0.194338480794901,0.034,0.034,1,"Not significant"
"Mrps15",0.930573565390029,0.103945357817365,0.233,0.239,1,"Not significant"
"Mrpl45",0.930659215340775,0.0828656396985368,0.097,0.096,1,"Not significant"
"Pheta1",0.930825219291991,0.0987720306078979,0.055,0.055,1,"Not significant"
"Spa17",0.930972317629482,0.0799481563162425,0.012,0.011,1,"Not significant"
"Fkbpl",0.930972317629482,0.0799481563162425,0.012,0.011,1,"Not significant"
"Srgap2",0.931385072694627,0.0800354680263117,0.519,0.56,1,"Not significant"
"Gstm5",0.931430419206016,-0.0124454479906513,0.02,0.02,1,"Not significant"
"Gdf11",0.931430419206016,-0.0124454479906513,0.02,0.02,1,"Not significant"
