"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"Thap2",0.000189769547065317,-1.16653080621654,0.096,0.235,1,"Not significant",0
"Pcsk5",0.000189910560924725,-2.81978066410575,0.013,0.108,1,"Not significant",0
"Chst10",0.000190112952204967,-2.1401482450055,0.026,0.13,1,"Not significant",0
"Apex2",0.000190657140637653,-0.817727005337779,0.179,0.341,1,"Not significant",0
"Hcn3",0.000191011755005594,-2.69779013972714,0.013,0.108,1,"Not significant",0
"Mest",0.000191835535834768,-1.5687481947254,0.064,0.187,1,"Not significant",0
"Prkaca",0.000191923431105683,-1.51721789408532,0.058,0.18,1,"Not significant",0
"Abcc1",0.00019213326428191,-1.15306156380866,0.051,0.174,1,"Not significant",0
"0610010F05Rik",0.000192626094780781,-0.566312443613492,0.199,0.38,1,"Not significant",0
"Rmnd5a",0.000192632709110987,-2.63269511150526,0.013,0.108,1,"Not significant",0
"Cryl1",0.000192632917251451,-2.65472141783526,0.013,0.108,1,"Not significant",0
"Spock3",0.000193230553944451,-0.722849988874194,0.442,0.602,1,"Not significant",0
"Lrrc4b",0.000193231924308001,-1.0365920531789,0.115,0.261,1,"Not significant",0
"Cadm3",0.000194214374187989,-1.16798245320222,0.103,0.242,1,"Not significant",0
"Osbp",0.00019469518076353,-1.54578704628209,0.051,0.171,1,"Not significant",0
"Ecd",0.000196347548163367,-1.13019477097607,0.077,0.211,1,"Not significant",0
"Mafg",0.000196475124213063,-0.824646419277569,0.16,0.317,1,"Not significant",0
"Elp2",0.000196508033569013,-1.15222107730607,0.077,0.209,1,"Not significant",0
"Ntng1",0.00019771674941295,-1.53632671703303,0.167,0.317,1,"Not significant",0
"Dclk2",0.000198169144811149,-0.780252299919116,0.16,0.319,1,"Not significant",0
"Pde7b",0.00019880490628624,-1.41194585098526,0.141,0.279,1,"Not significant",0
"Tm9sf3",0.000198836885367547,-1.79732581327806,0.032,0.141,1,"Not significant",0
"Lmln",0.000199524269966139,-1.7498786508756,0.045,0.16,1,"Not significant",0
"Pus10",0.000199525370501655,-1.76514540752891,0.045,0.16,1,"Not significant",0
"Ranbp10",0.000199639391912411,-1.16491615015444,0.096,0.233,1,"Not significant",0
"Ski",0.000201053598746858,-1.1771424524877,0.096,0.233,1,"Not significant",0
"Amz2",0.000201245690985898,-1.78025229991912,0.032,0.141,1,"Not significant",0
"Arhgap17",0.000202515662997341,-1.57995364943328,0.038,0.152,1,"Not significant",0
"Ppip5k2",0.000202994422663861,-0.993655938028309,0.122,0.268,1,"Not significant",0
"Fmnl2",0.000204199673446963,-0.689104411860921,0.199,0.372,1,"Not significant",0
"Chl1",0.000204903076567569,-0.680000826283615,0.269,0.455,1,"Not significant",0
"A830018L16Rik",0.000205316656093342,-0.93945089476837,0.237,0.398,1,"Not significant",0
"2210408I21Rik",0.000206725767980525,-0.738733030480849,0.205,0.374,1,"Not significant",0
"Fbxo28",0.00020688461403909,-2.0365920531789,0.032,0.139,1,"Not significant",0
"Xpo4",0.000207514594012586,-1.23091370892868,0.071,0.2,1,"Not significant",0
"Mdn1",0.000208022514854728,0.669088248940446,0.686,0.664,1,"Not significant",0
"Nrsn2",0.000209852189012518,-1.08691363815317,0.083,0.218,1,"Not significant",0
"Thsd4",0.00020988375401097,-1.0674149766458,0.115,0.259,1,"Not significant",0
"Ric8b",0.000210593560132164,-0.917755823669051,0.09,0.231,1,"Not significant",0
"Plec",0.000210735033433703,1.01981012957213,0.449,0.35,1,"Not significant",0
"Ankrd17",0.000210867512338727,-0.354835654860273,0.397,0.631,1,"Not significant",0
"Lmbrd2",0.000212827936873903,-1.70308443939666,0.038,0.15,1,"Not significant",0
"Rsbn1",0.000213073398669703,-0.969286124309133,0.122,0.27,1,"Not significant",0
"Zfhx4",0.000213541452587453,-0.852402085674951,0.263,0.435,1,"Not significant",0
"Strbp",0.000213598032410167,-0.527048903445016,0.429,0.631,1,"Not significant",0
"Vapa",0.000214046616208865,-1.93225539336417,0.032,0.139,1,"Not significant",0
"Tbc1d19",0.000214167486327718,-0.895729517339052,0.128,0.279,1,"Not significant",0
"Far2",0.000214714108793148,-1.9577904854713,0.038,0.149,1,"Not significant",0
"Tom1",0.000215382511161881,-1.66922098753037,0.045,0.16,1,"Not significant",0
"Tardbp",0.000215805109093834,-0.722536802062828,0.147,0.305,1,"Not significant",0
"Klf8",0.000218234162577315,-2.04328670575291,0.019,0.119,1,"Not significant",0
"Uqcc1",0.000218476221577784,-1.46830829360438,0.064,0.187,1,"Not significant",0
"Egln1",0.000220755516900152,-2.21321170719522,0.026,0.128,1,"Not significant",0
"A930015D03Rik",0.000221429087680531,-0.903634715424398,0.135,0.286,1,"Not significant",0
"Syndig1",0.000221741275644831,-1.2515580188447,0.09,0.22,1,"Not significant",0
"Ptgds",0.000222413295436926,1.61206512285964,0.115,0.039,1,"Not significant",0
"Dennd2a",0.000222573049641109,-1.78025229991912,0.051,0.167,1,"Not significant",0
"Gm17494",0.000223192914860374,-1.3107670166179,0.051,0.171,1,"Not significant",0
"Tmem87a",0.000223836655071882,-1.29682782566002,0.051,0.171,1,"Not significant",0
"Numb",0.000224171315027824,-1.02417788280521,0.083,0.218,1,"Not significant",0
