"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfp358",0.392356019371869,-0.282988405621016,0.013,0.017,1
"Ift27",0.392373357374368,-0.21587420976248,0.036,0.041,1
"Adamts6",0.392427840739127,0.0620045369571933,0.141,0.131,1
"Map2k2",0.392528628512849,-0.0681821896796568,0.458,0.463,1
"Ublcp1",0.392677130052652,0.10919359265545,0.148,0.139,1
"Col27a1",0.39273082177017,0.0991344711850921,0.027,0.023,1
"Snhg16",0.39297445337687,0.268110643233855,0.031,0.027,1
"Fam241a",0.393062813403673,-0.316851857487301,0.01,0.013,1
"Gm32364",0.393062813403673,-0.316851857487301,0.01,0.013,1
"Fancb",0.393062813403673,-0.316851857487301,0.01,0.013,1
"Ppp1r12b",0.393410704875057,-0.0812297827230217,0.54,0.541,1
"Zfp653",0.393570535884684,0.0132501688457616,0.171,0.159,1
"Kansl1l",0.393625041962949,0.0712533140045446,0.187,0.177,1
"Tiam2",0.393710856680714,0.109726424335642,0.068,0.061,1
"Rnpc3",0.393978359630831,0.0310445174355927,0.711,0.689,1
"Cdh7",0.393978680280889,0.105739834757378,0.27,0.26,1
"Zfp949",0.394271437646854,0.0390235693233991,0.237,0.226,1
"Hlf",0.394314217601638,-0.168359582839402,0.109,0.117,1
"Nifk",0.394443177740105,0.264535189010028,0.039,0.034,1
"Arhgef9",0.394531466280052,0.0620369902530569,0.365,0.353,1
"Gnb4",0.394649212059693,-0.164451770140047,0.158,0.167,1
"Kctd10",0.394684561981455,0.286290659298876,0.028,0.023,1
"Pcyt1b",0.394721040609851,0.0967067128656298,0.118,0.109,1
"Ypel4",0.394860708256488,-0.0663478466096425,0.209,0.221,1
"Gm17018",0.394939160295809,0.0503199171172817,0.148,0.138,1
"Ppp2r1b",0.395160253557118,0.276672656737279,0.069,0.063,1
"Mtfr1l",0.395175187783675,0.0807598649609722,0.094,0.086,1
"Sema5a",0.395402130174415,0.0757304500881071,0.169,0.158,1
"Eif4a3",0.395433919654322,-0.0955799760447684,0.074,0.082,1
"Tfb2m",0.395731583805669,-0.132311318740721,0.09,0.097,1
"Impad1",0.395900809020505,0.118215212750796,0.086,0.078,1
"Dgcr6",0.395943062322017,0.207161293269523,0.052,0.046,1
"4930458D05Rik",0.396122438936403,0.383587860653791,0.013,0.01,1
"Slc8b1",0.396122438936403,0.383587860653791,0.013,0.01,1
"Cerk",0.39613623148176,0.0816893367256826,0.226,0.216,1
"Gm39027",0.396145807670253,-0.353377733512415,0.007,0.01,1
"Gm49719",0.396145807670253,-0.353377733512415,0.007,0.01,1
"Rpl32",0.396157742274817,-0.127664953884356,0.035,0.04,1
"Atp5b",0.396341655290313,0.0677699663429592,0.263,0.251,1
"Aldh6a1",0.39638992239337,0.0714838837183973,0.103,0.095,1
"2810454H06Rik",0.396425489294274,0.262281564431658,0.024,0.02,1
"Fancm",0.396509728325444,0.0363930071559988,0.164,0.154,1
"Lin9",0.396839787690334,0.200220596299406,0.053,0.047,1
"Pex5",0.396893097872701,0.105718413657056,0.131,0.123,1
"Grk4",0.396902966713108,0.11741374728943,0.148,0.139,1
"Kptn",0.396955970168664,0.0808790614778236,0.156,0.146,1
"Tmem141",0.396996305584466,0.316473664795254,0.018,0.015,1
"Ppil1",0.397113134604443,0.201211118165222,0.031,0.027,1
"Bola2",0.397177926910684,-0.268488835925902,0.018,0.022,1
"St6gal1",0.397271542593791,0.10997011596217,0.09,0.082,1
"Macf1",0.397412614487987,0.00438203740561072,0.998,0.998,1
"Tmem8",0.397950221035716,0.00549193976308393,0.112,0.103,1
