"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Fign",0.0917155526984796,-1.18595042536839,0.047,0.143,1,1.03755701243901,"Not significant",NA
"Mier1",0.0917155526984796,-1.18595042536839,0.047,0.143,1,1.03755701243901,"Not significant",NA
"Tasor2",0.0917155526984796,-1.18595042536839,0.047,0.143,1,1.03755701243901,"Not significant",NA
"Itm2b",0.0917155526984796,-1.18595042536839,0.047,0.143,1,1.03755701243901,"Not significant",NA
"Tnni1",0.0922210931204149,-0.650618692371832,0.163,0.294,1,1.03516973428154,"Not significant",NA
"Abcg1",0.09267523005827,-0.934411658372423,0.093,0.206,1,1.03303632719845,"Not significant",NA
"Atg13",0.092840355599662,-1.11194984392461,0.047,0.143,1,1.03226320476637,"Not significant",NA
"Tbc1d22b",0.092840355599662,-1.11194984392461,0.047,0.143,1,1.03226320476637,"Not significant",NA
"Galnt16",0.0928441146370828,1.00352737349533,0.233,0.127,1,1.03224562085957,"Not significant",NA
"Slc6a9",0.0929428917203889,-1.09284102097691,0.07,0.175,1,1.03178381949787,"Not significant",NA
"Nfib",0.0929434279226518,-1.20387233336565,0.07,0.175,1,1.03178131399145,"Not significant",NA
"Ralgps1",0.093984233880811,-0.536447672452521,0.279,0.437,1,1.0269449944093,"Not significant",NA
"Dvl1",0.0944632706452016,1.25145488693891,0.209,0.111,1,1.0247370217217,"Not significant",NA
"Cep350",0.0945177967296602,-0.770912926089544,0.163,0.294,1,1.02448641060403,"Not significant",NA
"R3hdm2",0.0945304793658374,0.792023268301614,0.256,0.143,1,1.02442813978527,"Not significant",NA
"Dip2b",0.0945553420160827,-0.546595627828604,0.349,0.508,1,1.02431393014448,"Not significant",NA
"Clic4",0.0946068513542254,-0.881944238478288,0.093,0.206,1,1.0240774111924,"Not significant",NA
"Hip1",0.0948537111866456,-0.854977190878018,0.186,0.31,1,1.02294567251015,"Not significant",NA
"Zeb1",0.095061219715069,1.13597766951897,0.209,0.111,1,1.02199661764356,"Not significant",NA
"Sema6d",0.0955641069931067,-0.722003325608597,0.233,0.365,1,1.01970519414489,"Not significant",NA
"Gpatch8",0.095649950231873,0.576106149760649,0.465,0.325,1,1.01931525160667,"Not significant",NA
"Frmd8",0.0961019956198085,-0.972546787259194,0.07,0.175,1,1.01726759383331,"Not significant",NA
"Kmt2c",0.096637456066569,0.777291024621495,0.465,0.341,1,1.01485451116079,"Not significant",NA
"Acap2",0.0973508207819079,-0.374984249758405,0.186,0.341,1,1.01166038251528,"Not significant",NA
"Adarb2",0.0973599044222275,1.66649238621775,0.233,0.135,1,1.01161986112269,"Not significant",NA
"Hnrnpu",0.0975797774682551,0.982731409223293,0.395,0.302,1,1.01064017663592,"Not significant",NA
"Ttll5",0.0978078425503104,-0.770912926089544,0.209,0.341,1,1.00962632067488,"Not significant",NA
"Gripap1",0.0989991258442035,0.989136281189704,0.326,0.214,1,1.00436864017735,"Not significant",NA
"Bcl9",0.0991768689844278,-0.618909832644494,0.07,0.183,1,1.00358960651325,"Not significant",NA
"Tcerg1",0.0993420242539448,1.04405518007794,0.279,0.175,1,1.00286699480021,"Not significant",NA
"Nipsnap2",0.100317522083799,-1.53644767245252,0.023,0.103,1,0.998623203772362,"Not significant",NA
"Frmd4b",0.100744809869569,-0.625307603842644,0.349,0.484,1,0.99677731841829,"Not significant",NA
"Map4k3",0.100830759750054,1.21398018152025,0.256,0.151,1,0.996406960431479,"Not significant",NA
"Dgki",0.100889507083659,-0.922916019534594,0.326,0.437,1,0.996153999795119,"Not significant",NA
"Hnrnpa2b1",0.100982318323243,-0.586488354952116,0.256,0.405,1,0.995754663117317,"Not significant",NA
"Cdh10",0.101041829587428,-0.854977190878018,0.186,0.31,1,0.995498798512402,"Not significant",NA
"Fer",0.101042626932818,-1.44898483120218,0.023,0.103,1,0.995495371403668,"Not significant",NA
"Mtm1",0.101042626932818,-1.44898483120218,0.023,0.103,1,0.995495371403668,"Not significant",NA
"Mpped2",0.101043556072345,-1.53644767245252,0.023,0.103,1,0.995491377858307,"Not significant",NA
"Orc4",0.101759082672447,-1.44898483120218,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Cul4a",0.101759082672447,-1.3558754268107,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Fat1",0.101759082672447,-1.3558754268107,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Phlpp2",0.101759082672447,-1.3558754268107,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Trpc1",0.101759082672447,-1.3558754268107,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Msl2",0.101759082672447,-1.3558754268107,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Cdc42ep1",0.101759082672447,-1.44898483120218,0.023,0.103,1,0.992426816712271,"Not significant",NA
"Ankrd44",0.102303440500307,1.20309186537751,0.186,0.095,1,0.990109760567674,"Not significant",NA
"Cyp27a1",0.102466754176912,-1.25633975325979,0.023,0.103,1,0.989417020652874,"Not significant",NA
