"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Hs3st4",1.09623480856045e-12,-0.908828653492007,0.145,0.251,1.93419669622405e-08,"Down"
"Aco1",1.09627635772697e-12,-1.49761854993101,0.038,0.108,1.93427000557347e-08,"Down"
"Ppcdc",1.10145120183821e-12,-0.823520880319564,0.102,0.201,1.94340050052335e-08,"Down"
"Glod4",1.10425804375036e-12,-1.69046451836192,0.031,0.097,1.94835289239313e-08,"Down"
"Atg2b",1.10434548166035e-12,-0.678324518360745,0.103,0.206,1.94850716784152e-08,"Down"
"Rnaseh2b",1.12917162787753e-12,-1.40129684044745,0.034,0.102,1.99231042022711e-08,"Down"
"Ap3s2",1.14776092846655e-12,-0.960432235085999,0.077,0.166,2.02510938218637e-08,"Down"
"Pou2f1",1.14776496574317e-12,-0.545187288105182,0.169,0.29,2.02511650555724e-08,"Down"
"Taf2",1.16116193388845e-12,-0.693325012495582,0.102,0.203,2.04875411615279e-08,"Down"
"Dancr",1.18202957676844e-12,-2.38125176055722,0.012,0.063,2.08557298525023e-08,"Down"
"Cisd1",1.20407566302937e-12,-2.57775297761704,0.008,0.056,2.12447109984902e-08,"Down"
"Yy1",1.20801538329651e-12,-1.0575634030756,0.054,0.133,2.13142234228836e-08,"Down"
"Lyst",1.23124828025574e-12,-0.338135236214415,0.25,0.4,2.17241446568323e-08,"Down"
"Trappc9",1.24988385721574e-12,-0.400395610965149,0.252,0.396,2.20529507767146e-08,"Down"
"Clint1",1.25181965250678e-12,-0.618961280096492,0.154,0.271,2.20871059488296e-08,"Down"
"Kcnab1",1.25198990213934e-12,-0.898305753930514,0.19,0.306,2.20901098333465e-08,"Down"
"Azi2",1.2574458478176e-12,-0.901467948540753,0.075,0.164,2.21863745388937e-08,"Down"
"Frmpd4",1.27296131209054e-12,-0.600406468518091,0.404,0.541,2.24601293905255e-08,"Down"
"Clptm1l",1.30375310291981e-12,-1.41242346496069,0.04,0.111,2.30034197479171e-08,"Down"
"Kcnq3",1.30863709019269e-12,-0.44273021006661,0.437,0.592,2.30895928193598e-08,"Down"
"Mef2c",1.33065160995256e-12,-1.46429492783376,0.052,0.129,2.3478017006003e-08,"Down"
"Nsmce2",1.33971780989205e-12,-0.506825504093001,0.178,0.303,2.36379810377353e-08,"Down"
"Ammecr1",1.34293361060584e-12,-1.64373520398566,0.03,0.096,2.36947206255294e-08,"Down"
"Nufip2",1.36100717901768e-12,-0.723685051760621,0.125,0.23,2.4013610666588e-08,"Down"
"Fads2",1.36111900804617e-12,-2.23337419191629,0.014,0.067,2.40155837779665e-08,"Down"
"Fam171a1",1.37289984769685e-12,-0.712785603668757,0.113,0.216,2.42234449127632e-08,"Down"
