"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Csmd11",0.000210569456964834,0.191246934038812,0.943,0.941,1,"5","Csmd1"
"Efcab11",0.000210824817587612,0.799849248906153,0.258,0.17,1,"5","Efcab1"
"Prkce2",0.000213433448235996,0.350667379789704,0.725,0.664,1,"5","Prkce"
"Brinp31",0.000223718638462389,0.41211062639409,0.611,0.513,1,"5","Brinp3"
"Nav31",0.000225937846298234,0.297555263289734,0.836,0.78,1,"5","Nav3"
"Nsd1",0.000245978065461184,0.348901652673059,0.742,0.667,1,"5","Nsd1"
"Sobp1",0.00027116998622528,0.387448572159821,0.582,0.45,1,"5","Sobp"
"Ralyl1",0.00027841838372118,0.224193201164781,0.914,0.869,1,"5","Ralyl"
"Galnt181",0.00031744509105892,0.518841309767228,0.307,0.207,1,"5","Galnt18"
"Bbs91",0.000330600633964357,0.46254827197853,0.443,0.338,1,"5","Bbs9"
"Hdac91",0.000335185958784996,0.763692229288681,0.406,0.306,1,"5","Hdac9"
"Akt31",0.000378766642176992,0.516134590232684,0.459,0.366,1,"5","Akt3"
"Pou2f21",0.000430821721947965,0.446625606289295,0.484,0.379,1,"5","Pou2f2"
"Robo1",0.000434857723904262,0.280394440510437,0.881,0.835,1,"5","Robo1"
"Vps13a",0.000537445868986779,0.428297701283154,0.553,0.459,1,"5","Vps13a"
"Sash1",0.000560041725659981,0.571454596406434,0.332,0.237,1,"5","Sash1"
"Arl151",0.000593489101233566,0.933735471612387,0.398,0.321,1,"5","Arl15"
"Ephb21",0.000597488877609243,0.649632708311782,0.414,0.323,1,"5","Ephb2"
"Opcml1",0.000597523280240488,0.415558916770597,0.795,0.766,1,"5","Opcml"
"Celf61",0.000606622566750926,0.713841960199886,0.27,0.186,1,"5","Celf6"
"Apba11",0.000632100276956998,0.416410078744922,0.619,0.532,1,"5","Apba1"
"Plcxd32",0.000732607736247172,0.575187315282764,0.439,0.349,1,"5","Plcxd3"
"Zeb12",0.000745602084391862,0.306002506376355,0.721,0.644,1,"5","Zeb1"
"Ambra11",0.000748055755421175,0.389820039110217,0.5,0.393,1,"5","Ambra1"
"Kcnb2",0.000750793551033964,0.338045618929548,0.852,0.825,1,"5","Kcnb2"
"Tnik2",0.000765103295328887,0.227157941667272,0.869,0.828,1,"5","Tnik"
"Hdac4",0.000766326752110618,0.673250282791953,0.303,0.219,1,"5","Hdac4"
"Gabrg32",0.000790706973534543,0.220045861348233,0.852,0.766,1,"5","Gabrg3"
"Abca5",0.000804928845155257,0.564226965097101,0.385,0.297,1,"5","Abca5"
"Nnat",0.000809989875607165,0.601161822291953,0.336,0.243,1,"5","Nnat"
"Pde2a1",0.000817191589200064,0.497001616304575,0.348,0.248,1,"5","Pde2a"
"Akap62",0.000830248363143931,0.288942522584612,0.803,0.751,1,"5","Akap6"
"Adcy2",0.000837323552015425,0.644919243520327,0.5,0.421,1,"5","Adcy2"
